,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,-480.2546048119844,0,GA,0
1,1.0,-480.2546048119844,1,GA,0
2,2.0,-480.2546048119844,2,GA,0
3,3.0,-480.2546048119844,3,GA,0
4,4.0,-480.2546048119844,4,GA,0
5,5.0,-480.2546048119844,5,GA,0
6,6.0,-480.2546048119844,6,GA,0
7,7.0,-480.2546048119844,7,GA,0
8,8.0,-480.2546048119844,8,GA,0
9,9.0,-480.2546048119844,9,GA,0
10,10.0,-480.2546048119844,10,GA,0
11,11.0,-435.50765154902166,0,GA,1
12,12.0,-435.50765154902166,1,GA,1
13,13.0,-435.50765154902166,2,GA,1
14,14.0,-435.50765154902166,3,GA,1
15,15.0,-435.50765154902166,4,GA,1
16,16.0,-435.50765154902166,5,GA,1
17,17.0,-435.50765154902166,6,GA,1
18,18.0,-435.50765154902166,7,GA,1
19,19.0,-435.50765154902166,8,GA,1
20,20.0,-435.50765154902166,9,GA,1
21,21.0,-435.50765154902166,10,GA,1
22,22.0,-416.404750754142,0,GA,2
23,23.0,-416.404750754142,1,GA,2
24,24.0,-416.404750754142,2,GA,2
25,25.0,-416.404750754142,3,GA,2
26,26.0,-416.404750754142,4,GA,2
27,27.0,-416.404750754142,5,GA,2
28,28.0,-416.404750754142,6,GA,2
29,29.0,-416.404750754142,7,GA,2
30,30.0,-416.404750754142,8,GA,2
31,31.0,-416.404750754142,9,GA,2
32,32.0,-416.404750754142,10,GA,2
33,33.0,-420.7578262199117,0,GA,3
34,34.0,-420.7578262199117,1,GA,3
35,35.0,-420.7578262199117,2,GA,3
36,36.0,-420.7578262199117,3,GA,3
37,37.0,-420.7578262199117,4,GA,3
38,38.0,-420.7578262199117,5,GA,3
39,39.0,-420.7578262199117,6,GA,3
40,40.0,-420.7578262199117,7,GA,3
41,41.0,-420.7578262199117,8,GA,3
42,42.0,-420.7578262199117,9,GA,3
43,43.0,-420.7578262199117,10,GA,3
44,44.0,-442.2574788499348,0,GA,4
