,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,-48313.15774700929,0,GA,0
1,1.0,-48313.15774700929,1,GA,0
2,2.0,-48313.15774700929,2,GA,0
3,3.0,-48313.15774700929,3,GA,0
4,4.0,-48313.15774700929,4,GA,0
5,5.0,-48313.15774700929,5,GA,0
6,6.0,-48313.15774700929,6,GA,0
7,7.0,-48313.15774700929,7,GA,0
8,8.0,-48313.15774700929,8,GA,0
9,9.0,-48313.15774700929,9,GA,0
10,10.0,-48313.15774700929,10,GA,0
11,11.0,-14129.39426608149,0,GA,1
12,12.0,-14129.39426608149,1,GA,1
13,13.0,-14129.39426608149,2,GA,1
14,14.0,-14129.39426608149,3,GA,1
15,15.0,-14129.39426608149,4,GA,1
16,16.0,-14129.39426608149,5,GA,1
17,17.0,-14129.39426608149,6,GA,1
18,18.0,-14129.39426608149,7,GA,1
19,19.0,-14129.39426608149,8,GA,1
20,20.0,-14129.39426608149,9,GA,1
21,21.0,-14129.39426608149,10,GA,1
22,22.0,-64422.90041233411,0,GA,2
23,23.0,-64422.90041233411,1,GA,2
24,24.0,-64422.90041233411,2,GA,2
25,25.0,-64422.90041233411,3,GA,2
26,26.0,-64422.90041233411,4,GA,2
27,27.0,-64422.90041233411,5,GA,2
28,28.0,-64422.90041233411,6,GA,2
29,29.0,-64422.90041233411,7,GA,2
30,30.0,-64422.90041233411,8,GA,2
31,31.0,-64422.90041233411,9,GA,2
32,32.0,-64422.90041233411,10,GA,2
33,33.0,-1302.5901054885624,0,GA,3
34,34.0,-1302.5901054885624,1,GA,3
35,35.0,-1302.5901054885624,2,GA,3
36,36.0,-1302.5901054885624,3,GA,3
37,37.0,-1302.5901054885624,4,GA,3
38,38.0,-1302.5901054885624,5,GA,3
39,39.0,-1302.5901054885624,6,GA,3
40,40.0,-1302.5901054885624,7,GA,3
41,41.0,-1302.5901054885624,8,GA,3
42,42.0,-1302.5901054885624,9,GA,3
43,43.0,-1302.5901054885624,10,GA,3
44,44.0,-60968.12256697253,0,GA,4
45,45.0,-60968.12256697253,1,GA,4
46,46.0,-60968.12256697253,2,GA,4
47,47.0,-60968.12256697253,3,GA,4
48,48.0,-60968.12256697253,4,GA,4
49,49.0,-60968.12256697253,5,GA,4
