,Unnamed: 0,value,iteration,algorithm,replicate
0,0,1941118.6744184569,0,GA,0
1,1,1941118.6744184569,1,GA,0
2,2,1941118.6744184569,2,GA,0
3,3,1941118.6744184569,3,GA,0
4,4,1941118.6744184569,4,GA,0
5,5,1941118.6744184569,5,GA,0
6,6,1941118.6744184569,6,GA,0
7,7,1941118.6744184569,7,GA,0
8,8,1941118.6744184569,8,GA,0
9,9,1106554.1996442284,9,GA,0
10,10,1106554.1996442284,10,GA,0
11,11,4753948.033090127,0,GA,1
12,12,4753948.033090127,1,GA,1
13,13,4753948.033090127,2,GA,1
14,14,4753948.033090127,3,GA,1
15,15,4753948.033090127,4,GA,1
16,16,4753948.033090127,5,GA,1
17,17,4753948.033090127,6,GA,1
18,18,4556447.040455639,7,GA,1
19,19,4556447.040455639,8,GA,1
20,20,4556447.040455639,9,GA,1
21,21,4556447.040455639,10,GA,1
22,22,1757896.8692201206,0,GA,2
23,23,1757896.8692201206,1,GA,2
24,24,1757896.8692201206,2,GA,2
25,25,1757896.8692201206,3,GA,2
26,26,1757896.8692201206,4,GA,2
27,27,1757896.8692201206,5,GA,2
28,28,1757896.8692201206,6,GA,2
29,29,1757896.8692201206,7,GA,2
30,30,1757896.8692201206,8,GA,2
31,31,1732726.1051259246,9,GA,2
32,32,1732726.1051259246,10,GA,2
33,33,5407038.317471004,0,GA,3
34,34,5407038.317471004,1,GA,3
35,35,5407038.317471004,2,GA,3
36,36,5407038.317471004,3,GA,3
37,37,5407038.317471004,4,GA,3
38,38,5407038.317471004,5,GA,3
39,39,4337609.746943185,6,GA,3
40,40,4337609.746943185,7,GA,3
41,41,4337609.746943185,8,GA,3
42,42,4337609.746943185,9,GA,3
43,43,4337609.746943185,10,GA,3
44,44,3102496.25118642,0,GA,4
45,45,3102496.25118642,1,GA,4
46,46,3102496.25118642,2,GA,4
47,47,3102496.25118642,3,GA,4
48,48,3102496.25118642,4,GA,4
49,49,3102496.25118642,5,GA,4
50,50,3102496.25118642,6,GA,4
51,51,3102496.25118642,7,GA,4
52,52,3102496.25118642,8,GA,4
53,53,3102496.25118642,9,GA,4
54,54,3102496.25118642,10,GA,4
55,55,4512139.265388721,0,GA,5
56,56,4160977.458733648,1,GA,5
57,57,4160977.458733648,2,GA,5
58,58,4160977.458733648,3,GA,5
59,59,4160977.458733648,4,GA,5
60,60,2674957.3320109886,5,GA,5
61,61,2674957.3320109886,6,GA,5
62,62,2665409.41028918,7,GA,5
63,63,2665409.41028918,8,GA,5
64,64,2665409.41028918,9,GA,5
65,65,2665409.41028918,10,GA,5
66,66,1672259.6440961866,0,GA,6
67,67,1672259.6440961866,1,GA,6
68,68,1672259.6440961866,2,GA,6
69,69,1672259.6440961866,3,GA,6
70,70,1672259.6440961866,4,GA,6
71,71,1672259.6440961866,5,GA,6
72,72,1672259.6440961866,6,GA,6
73,73,1672259.6440961866,7,GA,6
74,74,1672259.6440961866,8,GA,6
75,75,1672259.6440961866,9,GA,6
76,76,1672259.6440961866,10,GA,6
77,77,4732869.558238303,0,GA,7
78,78,4682347.667731801,1,GA,7
79,79,4402071.486256538,2,GA,7
80,80,4402071.486256538,3,GA,7
81,81,3758533.761568761,4,GA,7
82,82,3592669.892844721,5,GA,7
83,83,3592669.892844721,6,GA,7
84,84,2227710.7966986285,7,GA,7
85,85,2181040.794386744,8,GA,7
86,86,2181040.794386744,9,GA,7
87,87,2181040.794386744,10,GA,7
88,88,5768802.119421932,0,GA,8
89,89,5768802.119421932,1,GA,8
90,90,5768802.119421932,2,GA,8
91,91,3742847.067195614,3,GA,8
92,92,3742847.067195614,4,GA,8
93,93,3742847.067195614,5,GA,8
94,94,3742847.067195614,6,GA,8
95,95,3742847.067195614,7,GA,8
96,96,3742847.067195614,8,GA,8
97,97,3742847.067195614,9,GA,8
98,98,3742847.067195614,10,GA,8
99,99,2502041.9517378,0,GA,9
100,100,2502041.9517378,1,GA,9
101,101,2502041.9517378,2,GA,9
102,102,2502041.9517378,3,GA,9
103,103,2502041.9517378,4,GA,9
104,104,2502041.9517378,5,GA,9
105,105,2502041.9517378,6,GA,9
106,106,2502041.9517378,7,GA,9
107,107,2502041.9517378,8,GA,9
108,108,2502041.9517378,9,GA,9
109,109,2502041.9517378,10,GA,9
110,110,1941118.6744184569,0,DE best1bin,0
111,111,1266176.108592694,1,DE best1bin,0
112,112,782896.5340417436,2,DE best1bin,0
113,113,782896.5340417436,3,DE best1bin,0
114,114,636113.0610690526,4,DE best1bin,0
115,115,519943.9364921656,5,DE best1bin,0
116,116,438753.1244737592,6,DE best1bin,0
117,117,253520.90075024552,7,DE best1bin,0
118,118,253520.90075024552,8,DE best1bin,0
119,119,64132.33253646139,9,DE best1bin,0
120,120,64132.33253646139,10,DE best1bin,0
121,121,4753948.033090127,0,DE best1bin,1
122,122,2586914.2548960685,1,DE best1bin,1
123,123,2097096.8039653427,2,DE best1bin,1
124,124,1004163.3775931916,3,DE best1bin,1
125,125,899930.9749611334,4,DE best1bin,1
126,126,823905.4216638572,5,DE best1bin,1
127,127,556663.2630692638,6,DE best1bin,1
128,128,339186.1835055998,7,DE best1bin,1
129,129,339186.1835055998,8,DE best1bin,1
130,130,339186.1835055998,9,DE best1bin,1
131,131,133503.42483643134,10,DE best1bin,1
132,132,1757896.8692201206,0,DE best1bin,2
133,133,1501740.388939111,1,DE best1bin,2
134,134,819336.2663753491,2,DE best1bin,2
135,135,819336.2663753491,3,DE best1bin,2
136,136,495565.1102768015,4,DE best1bin,2
137,137,495565.1102768015,5,DE best1bin,2
138,138,366797.8477497272,6,DE best1bin,2
139,139,366797.8477497272,7,DE best1bin,2
140,140,190677.99544790303,8,DE best1bin,2
141,141,190677.99544790303,9,DE best1bin,2
142,142,190677.99544790303,10,DE best1bin,2
143,143,5407038.317471004,0,DE best1bin,3
144,144,3545971.3050927576,1,DE best1bin,3
145,145,1606804.589568123,2,DE best1bin,3
146,146,1606804.589568123,3,DE best1bin,3
147,147,968886.4534596616,4,DE best1bin,3
148,148,487691.3350134639,5,DE best1bin,3
149,149,487691.3350134639,6,DE best1bin,3
150,150,487691.3350134639,7,DE best1bin,3
151,151,271328.59087329067,8,DE best1bin,3
152,152,271328.59087329067,9,DE best1bin,3
153,153,271328.59087329067,10,DE best1bin,3
154,154,3102496.25118642,0,DE best1bin,4
155,155,1306835.2236860015,1,DE best1bin,4
156,156,1306835.2236860015,2,DE best1bin,4
157,157,1019483.1634807688,3,DE best1bin,4
158,158,1019483.1634807688,4,DE best1bin,4
159,159,709766.3155117152,5,DE best1bin,4
160,160,709766.3155117152,6,DE best1bin,4
161,161,709766.3155117152,7,DE best1bin,4
162,162,558681.4185035797,8,DE best1bin,4
163,163,180164.34617654505,9,DE best1bin,4
164,164,180164.34617654505,10,DE best1bin,4
165,165,4512139.265388721,0,DE best1bin,5
166,166,3385852.9533348274,1,DE best1bin,5
167,167,847999.8047011652,2,DE best1bin,5
168,168,667950.0399317575,3,DE best1bin,5
169,169,667950.0399317575,4,DE best1bin,5
170,170,667950.0399317575,5,DE best1bin,5
171,171,667950.0399317575,6,DE best1bin,5
172,172,667950.0399317575,7,DE best1bin,5
173,173,539946.1811751957,8,DE best1bin,5
174,174,382667.4358468039,9,DE best1bin,5
175,175,226947.3346265516,10,DE best1bin,5
176,176,1672259.6440961866,0,DE best1bin,6
177,177,1574469.3678938758,1,DE best1bin,6
178,178,1387749.69930673,2,DE best1bin,6
179,179,718102.4382478051,3,DE best1bin,6
180,180,718102.4382478051,4,DE best1bin,6
181,181,614098.1658498498,5,DE best1bin,6
182,182,531585.6299318583,6,DE best1bin,6
183,183,476568.8994571551,7,DE best1bin,6
184,184,252208.04142706917,8,DE best1bin,6
185,185,206936.99801667556,9,DE best1bin,6
186,186,206936.99801667556,10,DE best1bin,6
187,187,4732869.558238303,0,DE best1bin,7
188,188,2611976.4827311877,1,DE best1bin,7
189,189,787278.5536963597,2,DE best1bin,7
190,190,787278.5536963597,3,DE best1bin,7
191,191,787278.5536963597,4,DE best1bin,7
192,192,560444.3703927336,5,DE best1bin,7
193,193,560444.3703927336,6,DE best1bin,7
194,194,422660.01929834846,7,DE best1bin,7
195,195,118648.5387796151,8,DE best1bin,7
196,196,118648.5387796151,9,DE best1bin,7
197,197,118648.5387796151,10,DE best1bin,7
198,198,5768802.119421932,0,DE best1bin,8
199,199,2245373.434472508,1,DE best1bin,8
200,200,1428070.0869619076,2,DE best1bin,8
201,201,1428070.0869619076,3,DE best1bin,8
202,202,1185342.1114199653,4,DE best1bin,8
203,203,1090246.7168934245,5,DE best1bin,8
204,204,680863.3365169461,6,DE best1bin,8
205,205,222187.82893422624,7,DE best1bin,8
206,206,222187.82893422624,8,DE best1bin,8
207,207,222187.82893422624,9,DE best1bin,8
208,208,185665.14094707623,10,DE best1bin,8
209,209,2502041.9517378,0,DE best1bin,9
210,210,2502041.9517378,1,DE best1bin,9
211,211,665396.9369618695,2,DE best1bin,9
212,212,665396.9369618695,3,DE best1bin,9
213,213,375977.9575650426,4,DE best1bin,9
214,214,375977.9575650426,5,DE best1bin,9
215,215,375977.9575650426,6,DE best1bin,9
216,216,375977.9575650426,7,DE best1bin,9
217,217,375977.9575650426,8,DE best1bin,9
218,218,200175.7402746714,9,DE best1bin,9
219,219,176989.2934283528,10,DE best1bin,9
220,220,1941118.6744184569,0,PSO,0
221,221,1095364.4840259275,1,PSO,0
222,222,1095364.4840259275,2,PSO,0
223,223,1000127.4121771604,3,PSO,0
224,224,1000127.4121771604,4,PSO,0
225,225,994260.471001227,5,PSO,0
226,226,994260.471001227,6,PSO,0
227,227,361085.9987024154,7,PSO,0
228,228,361085.9987024154,8,PSO,0
229,229,361085.9987024154,9,PSO,0
230,230,361085.9987024154,10,PSO,0
231,231,4753948.033090127,0,PSO,1
232,232,2996589.028480349,1,PSO,1
233,233,2138829.827656056,2,PSO,1
234,234,1096337.5253720072,3,PSO,1
235,235,1096337.5253720072,4,PSO,1
236,236,1096337.5253720072,5,PSO,1
237,237,1096337.5253720072,6,PSO,1
238,238,989961.8526780864,7,PSO,1
239,239,596578.297463636,8,PSO,1
240,240,463968.0219015985,9,PSO,1
241,241,463968.0219015985,10,PSO,1
242,242,1757896.8692201206,0,PSO,2
243,243,1757896.8692201206,1,PSO,2
244,244,1757896.8692201206,2,PSO,2
245,245,1757896.8692201206,3,PSO,2
246,246,1757896.8692201206,4,PSO,2
247,247,1757896.8692201206,5,PSO,2
248,248,1534395.654988281,6,PSO,2
249,249,1409252.1363075394,7,PSO,2
250,250,1113078.217516919,8,PSO,2
251,251,1113078.217516919,9,PSO,2
252,252,1042095.2109017832,10,PSO,2
253,253,5407038.317471004,0,PSO,3
254,254,4654100.19652406,1,PSO,3
255,255,2059315.1563762752,2,PSO,3
256,256,1798199.2293191126,3,PSO,3
257,257,1798199.2293191126,4,PSO,3
258,258,1609873.276704931,5,PSO,3
259,259,1609873.276704931,6,PSO,3
260,260,1088137.8666083224,7,PSO,3
261,261,812133.9437204603,8,PSO,3
262,262,516369.9112083089,9,PSO,3
263,263,510932.045024938,10,PSO,3
264,264,3102496.25118642,0,PSO,4
