,Unnamed: 0,value,iteration,algorithm,replicate
0,0.0,-188.79642624732983,0,GA,0
1,1.0,-188.79642624732983,1,GA,0
2,2.0,-188.79642624732983,2,GA,0
3,3.0,-188.79642624732983,3,GA,0
4,4.0,-188.79642624732983,4,GA,0
5,5.0,-188.79642624732983,5,GA,0
6,6.0,-188.79642624732983,6,GA,0
7,7.0,-188.79642624732983,7,GA,0
8,8.0,-188.79642624732983,8,GA,0
9,9.0,-188.79642624732983,9,GA,0
10,10.0,-188.79642624732983,10,GA,0
11,11.0,447.977054471019,0,GA,1
12,12.0,35.059747608398766,1,GA,1
13,13.0,35.059747608398766,2,GA,1
14,14.0,-6.822770484043588,3,GA,1
15,15.0,-6.822770484043588,4,GA,1
16,16.0,-6.822770484043588,5,GA,1
17,17.0,-6.822770484043588,6,GA,1
18,18.0,-6.822770484043588,7,GA,1
19,19.0,-6.822770484043588,8,GA,1
20,20.0,-6.822770484043588,9,GA,1
21,21.0,-6.822770484043588,10,GA,1
22,22.0,-124.21550380778342,0,GA,2
23,23.0,-124.21550380778342,1,GA,2
24,24.0,-124.21550380778342,2,GA,2
25,25.0,-124.21550380778342,3,GA,2
26,26.0,-124.21550380778342,4,GA,2
27,27.0,-124.21550380778342,5,GA,2
28,28.0,-124.21550380778342,6,GA,2
29,29.0,-124.21550380778342,7,GA,2
30,30.0,-124.21550380778342,8,GA,2
31,31.0,-124.21550380778342,9,GA,2
32,32.0,-124.21550380778342,10,GA,2
33,33.0,12.555687801235363,0,GA,3
34,34.0,12.555687801235363,1,GA,3
35,35.0,12.555687801235363,2,GA,3
36,36.0,12.555687801235363,3,GA,3
37,37.0,12.555687801235363,4,GA,3
38,38.0,12.555687801235363,5,GA,3
39,39.0,12.555687801235363,6,GA,3
40,40.0,12.555687801235363,7,GA,3
41,41.0,12.555687801235363,8,GA,3
42,42.0,12.555687801235363,9,GA,3
43,43.0,12.555687801235363,10,GA,3
44,44.0,136.8012190222236,0,GA,4
45,45.0,136.8012190222236,1,GA,4
46,46.0,136.8012190222236,2,GA,4
47,47.0,136.8012190222236,3,GA,4
48,48.0,136.8012190222236,4,GA,4
49,49.0,136.8012190222236,5,GA,4
50,50.0,136.8012190222236,6,GA,4
51,51.0,136.8012190222236,7,GA,4
52,52.0,136.8012190222236,8,GA,4
53,53.0,136.8012190222236,9,GA,4
54,54.0,136.8012190222236,10,GA,4
55,55.0,-588.0254148084043,0,GA,5
56,56.0,-588.0254148084043,1,GA,5
57,57.0,-588.0254148084043,2,GA,5
58,58.0,-588.0254148084043,3,GA,5
59,59.0,-588.0254148084043,4,GA,5
60,60.0,-588.0254148084043,5,GA,5
61,61.0,-588.0254148084043,6,GA,5
62,62.0,-588.0254148084043,7,GA,5
63,63.0,-588.0254148084043,8,GA,5
64,64.0,-588.0254148084043,9,GA,5
65,65.0,-588.0254148084043,10,GA,5
66,66.0,-249.7237736348256,0,GA,6
67,67.0,-249.7237736348256,1,GA,6
68,68.0,-249.7237736348256,2,GA,6
69,69.0,-249.7237736348256,3,GA,6
70,70.0,-249.7237736348256,4,GA,6
71,71.0,-249.7237736348256,5,GA,6
72,72.0,-249.7237736348256,6,GA,6
73,73.0,-249.7237736348256,7,GA,6
74,74.0,-249.7237736348256,8,GA,6
75,75.0,-249.7237736348256,9,GA,6
76,76.0,-249.7237736348256,10,GA,6
77,77.0,168.62139225521798,0,GA,7
78,78.0,168.62139225521798,1,GA,7
79,79.0,168.62139225521798,2,GA,7
80,80.0,168.62139225521798,3,GA,7
81,81.0,168.62139225521798,4,GA,7
82,82.0,168.62139225521798,5,GA,7
83,83.0,168.62139225521798,6,GA,7
84,84.0,168.62139225521798,7,GA,7
85,85.0,168.62139225521798,8,GA,7
86,86.0,168.62139225521798,9,GA,7
87,87.0,168.62139225521798,10,GA,7
88,88.0,-593.0986269701348,0,GA,8
89,89.0,-593.0986269701348,1,GA,8
90,90.0,-593.0986269701348,2,GA,8
91,91.0,-593.0986269701348,3,GA,8
92,92.0,-593.0986269701348,4,GA,8
93,93.0,-593.0986269701348,5,GA,8
94,94.0,-593.0986269701348,6,GA,8
95,95.0,-593.0986269701348,7,GA,8
96,96.0,-593.0986269701348,8,GA,8
97,97.0,-593.0986269701348,9,GA,8
98,98.0,-593.0986269701348,10,GA,8
99,99.0,108.19601620396227,0,GA,9
100,100.0,108.19601620396227,1,GA,9
101,101.0,108.19601620396227,2,GA,9
102,102.0,108.19601620396227,3,GA,9
103,103.0,108.19601620396227,4,GA,9
104,104.0,108.19601620396227,5,GA,9
105,105.0,108.19601620396227,6,GA,9
106,106.0,108.19601620396227,7,GA,9
107,107.0,108.19601620396227,8,GA,9
108,108.0,108.19601620396227,9,GA,9
109,109.0,108.19601620396227,10,GA,9
110,110.0,-188.79642624732983,0,DE best1bin,0
111,111.0,-188.79642624732983,1,DE best1bin,0
112,112.0,-188.79642624732983,2,DE best1bin,0
113,113.0,-188.79642624732983,3,DE best1bin,0
114,114.0,-188.79642624732983,4,DE best1bin,0
115,115.0,-188.79642624732983,5,DE best1bin,0
116,116.0,-188.79642624732983,6,DE best1bin,0
117,117.0,-188.79642624732983,7,DE best1bin,0
118,118.0,-188.79642624732983,8,DE best1bin,0
119,119.0,-188.79642624732983,9,DE best1bin,0
120,120.0,-188.79642624732983,10,DE best1bin,0
121,121.0,447.977054471019,0,DE best1bin,1
122,122.0,240.88513827033097,1,DE best1bin,1
123,123.0,240.88513827033097,2,DE best1bin,1
124,124.0,240.88513827033097,3,DE best1bin,1
125,125.0,240.88513827033097,4,DE best1bin,1
126,126.0,240.88513827033097,5,DE best1bin,1
127,127.0,240.88513827033097,6,DE best1bin,1
128,128.0,240.88513827033097,7,DE best1bin,1
129,129.0,240.88513827033097,8,DE best1bin,1
130,130.0,240.88513827033097,9,DE best1bin,1
131,131.0,240.88513827033097,10,DE best1bin,1
132,132.0,-124.21550380778342,0,DE best1bin,2
133,133.0,-124.21550380778342,1,DE best1bin,2
134,134.0,-124.21550380778342,2,DE best1bin,2
135,135.0,-124.21550380778342,3,DE best1bin,2
136,136.0,-124.21550380778342,4,DE best1bin,2
137,137.0,-124.21550380778342,5,DE best1bin,2
138,138.0,-124.21550380778342,6,DE best1bin,2
139,139.0,-124.21550380778342,7,DE best1bin,2
140,140.0,-124.21550380778342,8,DE best1bin,2
141,141.0,-124.21550380778342,9,DE best1bin,2
142,142.0,-124.21550380778342,10,DE best1bin,2
143,143.0,12.555687801235363,0,DE best1bin,3
144,144.0,12.555687801235363,1,DE best1bin,3
145,145.0,12.555687801235363,2,DE best1bin,3
146,146.0,12.555687801235363,3,DE best1bin,3
147,147.0,12.555687801235363,4,DE best1bin,3
148,148.0,12.555687801235363,5,DE best1bin,3
149,149.0,12.555687801235363,6,DE best1bin,3
150,150.0,-18.44485331446191,7,DE best1bin,3
151,151.0,-18.44485331446191,8,DE best1bin,3
152,152.0,-18.44485331446191,9,DE best1bin,3
153,153.0,-18.44485331446191,10,DE best1bin,3
154,154.0,136.8012190222236,0,DE best1bin,4
